word, absfrequency, relfrequency
passed,7,0.01
permission,7,0.01
pipe,7,0.01
poetry,7,0.01
pooty,7,0.01
prisoners,7,0.01
proud,7,0.01
provide,7,0.01
reach,7,0.01
ride,7,0.01
rose,7,0.01
rubbage,7,0.01
sack,7,0.01
sakes,7,0.01
seventeen,7,0.01
shall,7,0.01
shepherdson,7,0.01
sides,7,0.01
sis,7,0.01
smart,7,0.01
sorts,7,0.01
spare,7,0.01
spec,7,0.01
starting,7,0.01
stephen,7,0.01
stir,7,0.01
stirred,7,0.01
strange,7,0.01
strike,7,0.01
study,7,0.01
sun,7,0.01
swim,7,0.01
swum,7,0.01
tells,7,0.01
testament,7,0.01
thanks,7,0.01
third,7,0.01
thunder,7,0.01
tick,7,0.01
timber,7,0.01
tough,7,0.01
town;,7,0.01
trunk,7,0.01
undertaker,7,0.01
us;,7,0.01
vines,7,0.01
wagon,7,0.01
wash,7,0.01
wherever,7,0.01
whisky,7,0.01
whoever,7,0.01
yard,7,0.01
ye,7,0.01
yell,7,0.01
yuther,7,0.01
***,6,0.01
--i,6,0.01
2,6,0.01
4,6,0.01
_couldn,6,0.01
_us_,6,0.01
_well_,6,0.01
a-coming,6,0.01
a-rabs,6,0.01
according,6,0.01
act,6,0.01
arkansaw,6,0.01
asking,6,0.01
aunty,6,0.01
away;,6,0.01
backs,6,0.01
bang,6,0.01
be;,6,0.01
bear,6,0.01
beats,6,0.01
bent,6,0.01
bigger,6,0.01
bills,6,0.01
blankets,6,0.01
borrowed,6,0.01
bought,6,0.01
britches,6,0.01
brung,6,0.01
built,6,0.01
by;,6,0.01
c,6,0.01
ca,6,0.01
cain,6,0.01
camp-meeting,6,0.01
candlestick,6,0.01
cent,6,0.01
changed,6,0.01
clapped,6,0.01
coffee,6,0.01
collection,6,0.01
comply,6,0.01
cook,6,0.01
cooked,6,0.01
court,6,0.01
daytimes,6,0.01
directly,6,0.01
distribute,6,0.01
distribution,6,0.01
drifting,6,0.01
elephants,6,0.01
eleven,6,0.01
emmeline,6,0.01
expected,6,0.01
explain,6,0.01
feather,6,0.01
feet,6,0.01
feud,6,0.01
floated,6,0.01
followed,6,0.01
fourteen,6,0.01
fresh,6,0.01
gave,6,0.01
gone;,6,0.01
grab,6,0.01
grace,6,0.01
grave,6,0.01
half-way,6,0.01
handsome,6,0.01
hank,6,0.01
heavy,6,0.01
hello,6,0.01
helped,6,0.01
hitched,6,0.01
holes,6,0.01
hooks,6,0.01
hoped,6,0.01
hove,6,0.01
ignorant,6,0.01
jailed,6,0.01
joe,6,0.01
joy,6,0.01
joyful,6,0.01
kean,6,0.01
kep,6,0.01
knocked,6,0.01
lan,6,0.01
lays,6,0.01
lazy,6,0.01
life;,6,0.01
living,6,0.01
lock,6,0.01
lothrop,6,0.01
marked,6,0.01
meet,6,0.01
million,6,0.01
mournful,6,0.01
move,6,0.01
nat,6,0.01
nigh,6,0.01
nohow,6,0.01
nonnamous,6,0.01
obleeged,6,0.01
off;,6,0.01
on;,6,0.01
packed,6,0.01
passing,6,0.01
path,6,0.01
peeped,6,0.01
pen,6,0.01
pet,6,0.01
pglaf,6,0.01
pieces,6,0.01
pile,6,0.01
pistol,6,0.01
plumb,6,0.01
poked,6,0.01
printed,6,0.01
question,6,0.01
quite,6,0.01
ransomed,6,0.01
reason,6,0.01
richard,6,0.01
rights,6,0.01
ringmaster,6,0.01
rise,6,0.01
robinson,6,0.01
romeo,6,0.01
royalty,6,0.01
rubbed,6,0.01
said;,6,0.01
sarah,6,0.01
say:,6,0.01
scrabble,6,0.01
servant,6,0.01
shet,6,0.01
shin,6,0.01
shoulders,6,0.01
shows,6,0.01
singing,6,0.01
slim,6,0.01
smiled,6,0.01
snag,6,0.01
sollermun,6,0.01
spoke,6,0.01
spoons,6,0.01
spring,6,0.01
steady,6,0.01
step,6,0.01
stile,6,0.01
studied,6,0.01
stump,6,0.01
suits,6,0.01
sun-up,6,0.01
surprised,6,0.01
swamp,6,0.01
swift,6,0.01
tax,6,0.01
teeth,6,0.01
that-air,6,0.01
then;,6,0.01
thin,6,0.01
this:,6,0.01
tobacco,6,0.01
tongue,6,0.01
touched,6,0.01
treat,6,0.01
treated,6,0.01
trust,6,0.01
turner,6,0.01
uncommon,6,0.01
underneath,6,0.01
upper,6,0.01
volunteers,6,0.01
walls,6,0.01
washed,6,0.01
water;,6,0.01
web,6,0.01
wet,6,0.01
whooping,6,0.01
wink,6,0.01
witch,6,0.01
wives,6,0.01
wondering,6,0.01
www,6,0.01
yaller,6,0.01
--that,5,0.01
--what,5,0.01
_could_,5,0.01
_have_,5,0.01
_him,5,0.01
_like_,5,0.01
_me,5,0.01
_my_,5,0.01
_no_,5,0.01
_say_,5,0.01
a-comin,5,0.01
abner,5,0.01
abreast,5,0.01
acting,5,0.01
agreed,5,0.01
alongside,5,0.01
anyone,5,0.01
anywhere,5,0.01
around;,5,0.01
ashes,5,0.01
authorities,5,0.01
bar,5,0.01
bekase,5,0.01
belong,5,0.01
bible,5,0.01
blowing,5,0.01
